id_en;sentence_en;id_sk;sentence_sk
1283;"The password is ""Muiriel"".";2428549;Heslo je „Muiriel“.
1317;I never liked biology.;1058173;Nikdy som nemal rád biológiu.
1434;I love you.;735094;Ľúbim ťa.
1564;Thank you very much!;2428453;Ďakujem vám veľmi pekne!
1646;My name is Jack.;2428509;Volám sa Jack.
1705;I'm tired.;2429390;Som unavený.
1785;I made my decision.;2926453;Spravil som svoje rozhodnutie.
1829;Life is beautiful.;600004;Život je pekný.
1860;I don't want to go to school.;3633427;Nechcem chodiť do školy.
1867;Justice is expensive.;2429450;Spravodlivosť je drahá.
1897;Close the door when you leave.;1043034;Zavri dvere keď odídeš.
2061;It is never too late to learn.;1036075;Na učenie nikdy nie je neskoro.
2068;I knew that today would be fun.;2226034;Vedel som, že dnes bude zábava.
2123;Tell them to call me before they leave.;1043037;Povedz im, aby mi zavolali predtým ako odídu.
2168;Where are you?;1317943;Kde si?
2333;Why do you want to leave today?;1043041;Prečo chceš dnes odísť?
2366;It's well done.;1413715;Dobrá práca.
6048;I buried my dog at the pet cemetery.;1035696;Pochoval som svojho psa na zvieracom cintoríne.
16148;You'd better start now.;2915866;Radšej by si mal začať teraz.
16806;Have you ever been to that village?;2912454;Bol si niekedy v tej dedine?
17006;Is this your son, Betty?;2927731;Je toto tvoj syn, Betty?
17283;Where is your school?;1753298;Kde máš školu?
17283;Where is your school?;2429474;Kde je tvoja škola?
17735;I need you.;2428898;Potrebujem ťa.
17816;Who took care of the dog while you were away?;1035699;Kto sa ti staral o psa kým si bol preč?
18019;There are a good many reasons why you shouldn't do it.;2929912;Je dosť veľa dôvodov, prečo by si to nemal robiť.
18019;There are a good many reasons why you shouldn't do it.;2929914;Existuje dosť veľa dôvodov, prečo by si to nemal robiť.
18354;Do you have any vacancies?;2929926;Máte nejaké voľné miesta?
18516;The rich sometimes despise the poor.;2914081;Bohatí niekedy opovrhujú chudobnými.
19143;Thank you for the information.;1548483;Ďakujem za informáciu.
20097;You are beautiful.;2429366;Ty si krásna.
20267;We should take into account that the train was delayed.;1035708;Mali by sme brať do úvahy meškanie vlaku.
20272;Our train stopped suddenly.;1036069;Náš vlak zrazu zastavil.
21398;Some of the students like to play the guitar.;1036087;Niektorí zo študentov radi hrajú na gitare.
22225;The sea was as smooth as glass.;2233467;More malo zrkadlovú hladinu.
22747;We were greatly surprised at the news of his sudden death.;2915836;Správa o jeho náhlej smrti nás veľmi prekvapila.
23902;The fire is burning furiously.;878930;Oheň planie.
24127;We have made numerous improvements to our house since we bought it.;1036057;Urobili sme početné vylepšenia na našom dome, odkedy sme ho kúpili.
24746;It is clear what must be done.;2914677;Je jasné, čo musí byť vykonané.
24746;It is clear what must be done.;2914678;Je jasné, čo sa musí spraviť.
25029;What's new?;2428456;Čo máte nové?
25104;Do you subscribe to any magazines?;878935;Odoberáš nejaké časopisy?
25310;What is happening?;878672;Čo sa deje?
26205;It is impossible to master English in a short time.;1036095;Je nemožné naučiť sa po anglicky za krátky čas.
26727;A bicycle will rust if you leave it in the rain.;2914236;Bicykel zhrdzavie, ak ho necháš v daždi.
27220;Move a step, and you'll be a dead man!;2929931;Jeden krok a budeš mŕtvy!
27388;It is impossible to master English in a year or so.;1036096;Je nemožné naučiť sa po anglicky za rok alebo tak.
27555;Hard work enabled him to get good marks.;1036046;Tvrdá práca mu umožnila dostávať dobré známky.
28659;Don't you think it a bad thing?;2914707;Nemyslíš, že je to zlá vec?
29846;The lion is the king of the jungle.;2788472;Lev je kráľ džungle.
30040;It is finally all over.;2230593;Konečne je to všetko za nami.
30057;Do you think we'll have good weather?;2914176;Myslíš, že budeme mať dobré počasie?
30313;Hi, Bill. How are you?;2431685;Ahoj, Bill. Ako sa máš?
30316;Hi! How are you?;1047019;Ahoj! Ako sa máš?
30542;Definitely!;2926389;Určite!
31390;No, thank you.;1047005;Nie, ďakujem.
32263;Bees make honey.;2927689;Včely robia med.
32875;What do you think about having breakfast at McDonald's?;2912457;Čo povieš na raňajky v McDonalde?
33002;Mark graduated from Harvard in 1991.;2228977;Mark promoval na Harvarde v roku 1991.
33043;He is but a child.;2926484;On je len dieťa.
33470;I found no money left in my pocket.;2926373;Nenašiel som žiadne peniaze v mojom vrecku.
34000;Beth is an odd girl who likes snakes.;1036080;Beth je čudné dievča, ktoré má rado hady.
34491;Bill was killed with a gun.;1035828;Bill bol zastrelený.
35229;Could you show me the way to the bus stop?;1046970;Mohli by ste mi ukázať cestu na autobusovú zastávku?
35564;Yes, my name is Karen Smith.;2431770;Áno, volám sa Karen Smith.
36041;What pretty flowers!;2915873;Aké krásne kvety!
36097;How cute!;2926426;Aké roztomilé!
36361;Why did you come to Japan?;408393;Prečo si prišiel do Japonska?
36397;Why do you blame me for what happened?;2914151;Prečo ma viníš za to, čo sa stalo?
36397;Why do you blame me for what happened?;2914154;Prečo ma obviňuješ za to, čo sa stalo?
36405;Why are you crying?;1060177;Prečo plačeš?
37338;Tom is the most handsome actor in the world.;2428836;Tom je najkrajší herec na svete.
37696;How old is Tony?;2428684;Koľko rokov má Tony?
38387;I'm sorry.;2429628;Ľutujem.
39476;I'd like to have cake for dessert.;1036111;Rád by som si dal koláč ako dezert.
39609;There is an apple on the table.;2684962;Na stole je jablko.
39610;There is a radio on the table.;2916537;Na stole je rádio.
39741;The tundra has a harsh climate.;2913726;Tundra má drsné podnebie.
39741;The tundra has a harsh climate.;2913727;Tundra má drsnú klímu.
40458;Tell whoever comes that I'm out.;1036091;Povedz komukoľvek kto príde, že som vonku.
41531;Please don't make so much noise.;2230581;Prosím ťa nerob toľko hluku.
41865;Don't expose it to the rain.;1036044;Nevystavujte to dažďu!
42740;That's a great idea.;2229086;To je vynikajúci nápad.
43348;The old man lived by himself.;2927634;Starý muž žil sám.
43557;Does the medicine act quickly?;1036079;Účinkuje ten liek rýchlo?
44626;The two boys are much the same in English.;878953;Tí dvaja chlapci majú zhruba rovnakú angličtinu.
44734;The island is covered with ice and snow during the winter.;1036101;Počas zimy je ostrov pokrytý ľadom a snehom.
45733;The war lasted two years.;1517192;Vojna trvala dva roky.
46105;The new law has deprived the citizens of their liberty.;2233463;Nový zákon obmedzil občianske slobody.
46251;The prize won't be given to her.;2915884;Výhra jej nebude odovzdaná.
46411;The boy has been absent from school for eight days.;1036051;Chlapec v škole chýbal osem dní.
46717;The collection is open to the public.;1036116;Kolekcia je prístupná verejnosti.
47233;I do remember the incident quite well.;2927687;Ja si pamätám ten incident celkom dobre.
48642;The money was divided among the three.;2929943;Peniaze boli rozdelené medzi troch.
48823;The machine was coated with dust.;2228967;Stroj bol pokrytí prachom.
48944;The school was established in 1650.;2226125;Škola bola založená v roku 1650.
50756;Take off your socks.;1336551;Daj si dole ponožky.
50925;I'll take you there.;2926327;Zoberiem ťa tam.
50925;I'll take you there.;2926328;Vezmem ťa tam.
51453;Excuse me. Can you direct me to the nearest subway station?;1047017;Prepáčte. Môžte ma nasmerovať na najbližšiu stanicu metra?
51454;Will you please let me go now?;2913692;Necháš ma prosím teraz ísť?
52555;John has a natural bent for tennis.;2226137;Ján je tenisový talent.
52704;What did John sing on the stage?;1036391;Čo spieval Jano na pódiu?
52966;Jorge is able to speak four languages.;2926369;Jorge dokáže hovoriť štyrmi jazykmi.
53047;There's no water coming out of the shower.;1035826;Zo sprchy nejde žiadna voda.
53747;Jane was a stewardess when she was young.;2912416;Jane bola za mladi letuška.
54013;Goodbye, Sayoko.;2429359;Dovidenia, Sayoko.
54668;This is the worst thing that has ever happened to me!;1036083;Toto je najhoršia vec, aká sa mi kedy stala!
55984;Is this your umbrella?;2913660;Je toto tvoj dáždnik?
55984;Is this your umbrella?;2913661;Je toto váš dáždnik?
56074;This is the end.;2065246;Toto je koniec.
56523;This theory is too difficult for me to comprehend.;2916547;Táto teória je pre mňa príliš zložitá na pochopenie.
56913;This book is worthy of praise.;2914717;Táto kniha je hodná chvály.
58090;This ship is driven by steam.;2915872;Táto loď je poháňaná parou.
60879;This tape doesn't stick.;2912452;Táto páska sa nelepí.
62312;The coach gave me some advice.;2226082;Tréner mi poradil.
63957;Is your mother at home?;1338451;Je doma tvoja matka?
64246;I am surprised that your family has a Japanese car.;409164;Prekvapuje ma, že tvoja rodina má japonské auto.
64443;Where is your cap?;1338445;Kde je tvoja čapica?
64653;Good night and sweet dreams.;2428449;Dobrú noc a sladké sny.
65097;I take care of my grandfather.;2914113;Starám sa o svojho starého otca.
65231;Ellen does not speak English.;539941;Ellen nehovorí po anglicky.
66381;I will come to your country some day.;2929910;Jedného dňa navštívim tvoju krajinu.
66462;I will leave tomorrow, in any event.;2921747;Odídem zajtra, v každom prípade.
66475;Anyway, if you want to know more about my country, I'll send you a letter when I get home.;1336574;V každom prípade, ak chceš vedieť viac o mojej krajine, pošlem ti list, keď budem u seba doma.
66762;Happy Easter!;2429463;Veselú Veľkú noc!
67067;That was the most interesting novel that I had ever read.;2929925;To bol najzaujímavejší román, aký som kedy čítal.
67497;The United States is a large country.;2914173;Spojené štáty sú veľká krajina.
68009;Would you be so kind as to shut that window?;2929904;Bol by si taký milý a zatvoril to okno?
68009;Would you be so kind as to shut that window?;2929905;Bola by si taká milá a zatvorila to okno?
68088;That's the man I've been waiting for for a week.;2913725;To je ten muž, na ktorého som týždeň čakal.
68547;The house is haunted.;2429375;Dom je strašidelný.
68965;What time do you usually leave home?;878929;O koľkej zvyčajne odchádzaš z domu?
68994;You must take into account the fact that she was ill.;1035707;Musíš brať do úvahy fakt, že bola chorá.
69017;You should follow his advice.;1865224;Mal by si sa riadiť jeho radou.
69112;You are very beautiful.;2151963;Si veľmi krásna.
69112;You are very beautiful.;2151964;Ste veľmi krásna.
69226;Are you ten years old?;2921843;Máš desať rokov?
69635;Do you have a pencil?;637904;Máš ceruzku?
69963;Were you reading a book at that time?;1035824;Čítal si v tom čase knihu?
70145;You speak like your mother.;2926465;Rozprávaš ako tvoja matka.
70213;You will be sorry for it some day.;2912421;Jedného dňa to budeš ľutovať.
70213;You will be sorry for it some day.;2912422;Jedného dňa ťa to bude mrzieť.
70623;What is your name?;1816747;Ako sa voláte?
